iteration: 2, delta:22.690000000000055, current obj: 924.9000000000002, curr_dx:0.0, curr_dy:1.1
iteration: 3, delta:6.819999999999936, current obj: 931.7200000000001, curr_dx:2.4, curr_dy:2.1
iteration: 7, delta:-50.58999999999992, current obj: 881.1300000000002, curr_dx:2.6, curr_dy:1.7
iteration: 9, delta:2.8299999999999272, current obj: 883.9600000000002, curr_dx:3.6, curr_dy:2.3
iteration: 10, delta:87.25, current obj: 971.2100000000002, curr_dx:4.9, curr_dy:1.7
iteration: 14, delta:15.129999999999995, current obj: 986.3400000000001, curr_dx:2.6, curr_dy:1.0
iteration: 15, delta:-47.289999999999964, current obj: 939.0500000000002, curr_dx:4.9, curr_dy:0.6
iteration: 17, delta:-14.370000000000005, current obj: 924.6800000000002, curr_dx:4.9, curr_dy:1.2
iteration: 18, delta:34.75, current obj: 959.4300000000002, curr_dx:4.9, curr_dy:0.5
iteration: 21, delta:20.620000000000005, current obj: 980.0500000000002, curr_dx:3.5, curr_dy:1.3
iteration: 24, delta:-29.129999999999995, current obj: 950.9200000000002, curr_dx:3.9, curr_dy:1.8
iteration: 27, delta:40.610000000000014, current obj: 991.5300000000002, curr_dx:4.5, curr_dy:1.5
iteration: 35, delta:5.539999999999964, current obj: 997.0700000000002, curr_dx:3.9, curr_dy:1.6
iteration: 37, delta:28.529999999999973, current obj: 1025.6000000000001, curr_dx:4.4, curr_dy:1.9
iteration: 45, delta:-6.519999999999982, current obj: 1019.0800000000002, curr_dx:4.5, curr_dy:1.7
iteration: 60, delta:5.809999999999945, current obj: 1024.89, curr_dx:4.5, curr_dy:1.9
iteration: 89, delta:14.370000000000118, current obj: 1039.2600000000002, curr_dx:4.5, curr_dy:1.8
